question_id,family_code,family_name,priority,canonical_question,locked_registry_work_state,locked_registry_answer_status,atlas_overlay_work_state,controlling_primary_answer_status,secondary_answer_statuses,controlling_source,examination_id,equation_anchors,assumption_anchors,threshold_anchors,outgoing_relation_count,incoming_relation_count,dependency_cycle_component,open_issue_ids,registry_mutation,atlas_claim_scope
IC-AUT-006,AUT,Autonomy and Option Preservation,HIGH,"How should bounded autonomy be allocated among agents with unequal capabilities, information, and exposure to error?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-AUT-007,AUT,Autonomy and Option Preservation,HIGH,When does centralized coordination create a single point of epistemic or operational failure that preserved autonomy would diversify?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-AUT-008,AUT,Autonomy and Option Preservation,MEDIUM,What conditions are required for a temporary autonomy constraint to remain genuinely temporary rather than becoming self-renewing?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-IRR-001,IRR,Irreversibility and Recoverable Futures,FOUNDATIONAL,What is the expected structural cost of an irreversible action under model uncertainty?,REVIEWED,THRESHOLD_DEPENDENT,REVIEWED,THRESHOLD_DEPENDENT,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Pilot Examination 1 / Document 3 overlay,IC-IRR-001-EXAM-v0.1.2,Delta = s(1-p)H + c(p+s-2ps) - h - pd - p(1-s)B,,Sign reversal occurs where the stated Delta expression equals zero.,2,11,1,UNR-OPEN-001,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-IRR-002,IRR,Irreversibility and Recoverable Futures,HIGH,"How should recoverability, reversibility, and the value of delay affect the threshold for acting?",REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 8 Final v1.0,IC-IRR-002-EXAM-v0.1,"C_act = c_A + (1-p)(1-r_A)L | C_delay = c_D + d + (1-q)(1-p)(1-r_D)L | Delta_IRR = C_act - C_delay | V_recovery = (1-p)L(r_D-r_A) | V_learning = (1-p)L q(1-r_D) | Delta_IRR = V_recovery + V_learning - (c_D+d-c_A) | K = L[(r_D-r_A)+q(1-r_D)] | p* = 1 - (c_D+d-c_A)/K, for K>0","p is the probability that immediate action is correct within the declared model. | L is the loss from a wrong action before recoverability adjustments. | r_A and r_D are bounded recovery fractions or probabilities in [0,1]. | q is the probability that delay yields information sufficient to avoid the modeled wrong-action loss before commitment; otherwise the same p applies. | d includes deadline loss, accumulated harm, or option-closing burden from delay. | All represented costs use one declared scale.",,1,7,,,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-IRR-003,IRR,Irreversibility and Recoverable Futures,HIGH,How should low-probability catastrophic losses be treated when the affected state cannot be restored?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-IRR-004,IRR,Irreversibility and Recoverable Futures,HIGH,"When does reversible experimentation dominate immediate full commitment, and when does experimentation impose unacceptable delay or exposure?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-IRR-005,IRR,Irreversibility and Recoverable Futures,FOUNDATIONAL,How should the value of preserved future states be represented when their probabilities and future uses are not identifiable?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-IRR-006,IRR,Irreversibility and Recoverable Futures,HIGH,"When is inaction itself an irreversible choice because delay closes options, permits harm, or changes the strategic environment?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-IRR-007,IRR,Irreversibility and Recoverable Futures,MEDIUM,How should correlated irreversible actions be accounted for when their losses share the same causal pathway?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-IRR-008,IRR,Irreversibility and Recoverable Futures,HIGH,"What evidence would make a claimed repair, rollback, or restoration pathway credible enough to treat an action as reversible?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PEA-001,PEA,"Cooperation, Peace, and Repeated Interaction",FOUNDATIONAL,Under what conditions does peaceful coexistence have lower expected long-horizon structural cost than domination?,REVIEWED,THRESHOLD_DEPENDENT,REVIEWED,THRESHOLD_DEPENDENT,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Pilot Examination 2 / Document 3 overlay,IC-PEA-001-EXAM-v0.1.3,"Delta(T,delta) = -B0 + A(T,delta) Lambda",,Sign reversal occurs where the stated Delta expression equals zero.,2,2,3,UNR-OPEN-003,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-PEA-002,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,"How do repeated interaction, reputation, reciprocal restraint, and future bargaining alter one-shot strategic rankings?",REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 9 Final v1.0,IC-PEA-002-EXAM-v0.1,"G_f(T,delta) = sum_{t=1}^{T} delta^t | Lambda_rep = s + q eta rho - k | Delta_REP = -B0 + qJ + G_f(T,delta)Lambda_rep | G_f(T,delta) > (B0-qJ)/Lambda_rep for restraint reversal when Lambda_rep>0 | T* = (B0-qJ)/Lambda_rep in the undiscounted delta=1 special case","B0 is the immediate one-shot advantage of the exploitation branch relative to reciprocal restraint. | qJ is an expected one-time proportional response cost, not an operational response instruction. | s is per-period future bargaining/cooperation value preserved by restraint. | rho is per-period reputation or precedent loss caused by exploitation when detected; eta is the persistence of that effect through future or successor contexts. | k is the per-period cost of maintaining reciprocal restraint. | All represented terms use one declared scalar scale.",,2,7,,UNR-OPEN-008,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-PEA-003,PEA,"Cooperation, Peace, and Repeated Interaction",FOUNDATIONAL,Under what conditions is unilateral restraint rational when competing systems may remain unrestrained or exploit that restraint?,REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 9 Final v1.0,IC-PEA-003-EXAM-v0.1,"Delta_UR(pi) = o + v s + (1-pi)v f - c - pi e - b | A = o + v(s+f) - c - b | D = e + v f | Delta_UR(pi) = A - pi D | pi* = A/D for D>0 | Delta_min = Delta_UR(pi_U), Delta_max = Delta_UR(pi_L) for pi in [pi_L,pi_U]","pi is the probability that unilateral restraint is exploited within the selected comparison. | v in [0,1] is an independently supported verification/reliability factor applied to signaling and future reciprocity value. | o is option-preservation value that remains usable under the restraint branch. | e is the loss if restraint is exploited; b is the immediate protective or strategic value of declining restraint. | When pi is not identified, an explicit interval [pi_L,pi_U] is used and both endpoints remain admissible. | All represented terms use one declared scalar scale.",,3,0,,UNR-OPEN-008,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-PEA-004,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,How do credible commitments and independently verifiable limits change the equilibrium set for coexistence?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PEA-005,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,When can a peace or cooperation arrangement create asymmetric vulnerability that makes continued participation unstable?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PEA-006,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,Under what conditions can reciprocal restraint become self-enforcing without a central coercive authority?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
