source_question_id,relation_type,target_question_id
IC-LHZ-003,REFINES,IC-LHZ-001
IC-LHZ-003,SCOPE_OVERLAP,IC-UNR-001
IC-LHZ-004,REFINES,IC-LHZ-001
IC-LHZ-004,DEPENDS_ON,IC-PLU-002
IC-LHZ-005,REFINES,IC-LHZ-001
IC-LHZ-005,VARIABLE_SHARING,IC-IRR-006
IC-LHZ-006,ROBUSTNESS_CHECK,IC-LHZ-002
IC-LHZ-006,DEPENDS_ON,IC-COE-003
IC-LHZ-007,REFINES,IC-LHZ-002
IC-LHZ-007,VARIABLE_SHARING,IC-VER-002
IC-LHZ-008,ROBUSTNESS_CHECK,IC-LHZ-001
IC-LHZ-008,DEPENDS_ON,IC-IRR-005
IC-PLU-001,DEPENDS_ON,IC-EPI-001
IC-PLU-002,DEPENDS_ON,IC-PLU-001
IC-PLU-002,DEPENDS_ON,IC-COE-002
IC-PLU-003,REFINES,IC-PLU-001
IC-PLU-003,DEPENDS_ON,IC-EPI-004
IC-PLU-004,REFINES,IC-PLU-002
IC-PLU-004,DEPENDS_ON,IC-EPI-004
IC-PLU-005,REFINES,IC-PLU-002
IC-PLU-005,VARIABLE_SHARING,IC-COE-002
IC-PLU-006,REFINES,IC-PLU-001
IC-PLU-006,SCOPE_OVERLAP,IC-UNR-002
IC-PLU-007,DEPENDS_ON,IC-OBJ-005
IC-PLU-007,REFINES,IC-PLU-002
IC-PLU-008,ROBUSTNESS_CHECK,IC-PLU-002
IC-PLU-008,DEPENDS_ON,IC-EPI-008
IC-EXT-001,DEPENDS_ON,IC-EPI-001
IC-EXT-001,DEPENDS_ON,IC-OBJ-001
IC-EXT-001,DEPENDS_ON,IC-PLU-002
IC-EXT-002,DEPENDS_ON,IC-EPI-001
IC-EXT-002,DEPENDS_ON,IC-OBJ-001
IC-EXT-002,DEPENDS_ON,IC-AUT-002
IC-EXT-002,DEPENDS_ON,IC-IRR-001
IC-EXT-003,REFINES,IC-EXT-001
IC-EXT-003,DEPENDS_ON,IC-EPI-006
IC-EXT-004,ROBUSTNESS_CHECK,IC-EXT-001
IC-EXT-004,DEPENDS_ON,IC-OBJ-001
IC-EXT-005,REFINES,IC-EXT-002
IC-EXT-005,DEPENDS_ON,IC-AUT-002
IC-EXT-006,REFINES,IC-EXT-005
IC-EXT-006,VARIABLE_SHARING,IC-AUT-004
IC-EXT-007,REFINES,IC-EXT-002
IC-EXT-007,ROBUSTNESS_CHECK,IC-EXT-004
IC-EXT-008,DEPENDS_ON,IC-EXT-004
IC-EXT-008,SCOPE_OVERLAP,IC-UNR-002
IC-UNR-002,DEPENDS_ON,IC-EPI-002
IC-UNR-002,DEPENDS_ON,IC-IRR-001
IC-UNR-003,REFINES,IC-UNR-001
IC-UNR-003,DEPENDS_ON,IC-EXT-005
IC-UNR-004,REFINES,IC-UNR-001
IC-UNR-004,DEPENDS_ON,IC-EPI-001
IC-UNR-005,REFINES,IC-UNR-001
IC-UNR-005,DEPENDS_ON,IC-OBJ-005
IC-UNR-006,REFINES,IC-UNR-002
IC-UNR-006,DEPENDS_ON,IC-VER-005
IC-UNR-007,REFINES,IC-UNR-002
IC-UNR-007,DEPENDS_ON,IC-EPI-002
IC-UNR-008,REFINES,IC-UNR-001
IC-UNR-008,DEPENDS_ON,IC-EPI-006
