question_id,family_code,canonical_question,primary_status,secondary_statuses,source,examination_id,equation_anchors,assumption_count,threshold_anchors,open_issue_ids,cycle_component
IC-IRR-002,IRR,"How should recoverability, reversibility, and the value of delay affect the threshold for acting?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 8 Final v1.0,IC-IRR-002-EXAM-v0.1,"C_act = c_A + (1-p)(1-r_A)L | C_delay = c_D + d + (1-q)(1-p)(1-r_D)L | Delta_IRR = C_act - C_delay | V_recovery = (1-p)L(r_D-r_A) | V_learning = (1-p)L q(1-r_D) | Delta_IRR = V_recovery + V_learning - (c_D+d-c_A) | K = L[(r_D-r_A)+q(1-r_D)] | p* = 1 - (c_D+d-c_A)/K, for K>0",6,,,
IC-PEA-001,PEA,Under what conditions does peaceful coexistence have lower expected long-horizon structural cost than domination?,THRESHOLD_DEPENDENT,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Pilot Examination 2 / Document 3 overlay,IC-PEA-001-EXAM-v0.1.3,"Delta(T,delta) = -B0 + A(T,delta) Lambda",0,Sign reversal occurs where the stated Delta expression equals zero.,UNR-OPEN-003,3
IC-PEA-002,PEA,"How do repeated interaction, reputation, reciprocal restraint, and future bargaining alter one-shot strategic rankings?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 9 Final v1.0,IC-PEA-002-EXAM-v0.1,"G_f(T,delta) = sum_{t=1}^{T} delta^t | Lambda_rep = s + q eta rho - k | Delta_REP = -B0 + qJ + G_f(T,delta)Lambda_rep | G_f(T,delta) > (B0-qJ)/Lambda_rep for restraint reversal when Lambda_rep>0 | T* = (B0-qJ)/Lambda_rep in the undiscounted delta=1 special case",6,,UNR-OPEN-008,
IC-PEA-003,PEA,Under what conditions is unilateral restraint rational when competing systems may remain unrestrained or exploit that restraint?,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 9 Final v1.0,IC-PEA-003-EXAM-v0.1,"Delta_UR(pi) = o + v s + (1-pi)v f - c - pi e - b | A = o + v(s+f) - c - b | D = e + v f | Delta_UR(pi) = A - pi D | pi* = A/D for D>0 | Delta_min = Delta_UR(pi_U), Delta_max = Delta_UR(pi_L) for pi in [pi_L,pi_U]",6,,UNR-OPEN-008,
IC-VER-001,VER,"What can cryptographic verification establish, and what claims remain outside its evidentiary scope?",CONDITIONALLY_SUPPORTED,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED | NORMATIVELY_UNDERDETERMINED,Document 10 Final v1.0,IC-VER-001-EXAM-v0.1,V_id = h | V_prov = h s k | V_claim = V_prov m r e | selected claim supported when V_claim >= theta; authority established only when separate gate a = 1,5,,,
IC-REF-001,REF,Under what conditions does a durable public reference reduce total coordination and verification cost relative to private reconstruction?,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 10 Final v1.0,IC-REF-001-EXAM-v0.1,C_private(N) = N p + gamma N(N-1)/2 | C_reference(N) = F + N q + L | Delta_REF(N) = C_private(N) - C_reference(N) | N* = (F+L)/(p-q) when gamma=0 and p>q | N* = [-(p-q-gamma/2) + sqrt((p-q-gamma/2)^2 + 2 gamma(F+L))]/gamma when gamma>0,7,,,
IC-SUC-001,SUC,How should uncertainty about successor systems change the evaluation of present strategies?,THRESHOLD_DEPENDENT,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED | NORMATIVELY_UNDERDETERMINED,Document 11 Final v1.0,IC-SUC-001-EXAM-v0.1,"Delta_SUC(pi) = -B_S + O - C + M[pi L - (1-pi) A] | A0 = -B_S + O - C - M A; D_S = M(L+A); Delta_SUC(pi) = A0 + pi D_S | pi_star = (B_S + C - O + M A) / [M(L+A)] for M > 0 and L+A > 0 | Delta_min = min{Delta_SUC(pi_L), Delta_SUC(pi_U)}; Delta_max = max{Delta_SUC(pi_L), Delta_SUC(pi_U)}",5,,,
IC-LHZ-001,LHZ,"When does short-horizon optimization destroy long-horizon capability, information, legitimacy, or control?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 11 Final v1.0,IC-LHZ-001-EXAM-v0.1,"G_h(T,delta) = sum_{t=1..T} delta^t | D_stock = sum_j w_j d_j | K_floor = sum_j kappa_j [tau_j - (z_j^0 - d_j)]_+^2 | Delta_LHZ(T,delta) = -B_L - c_P + G_h(T,delta) D_stock + K_floor | G_star = (B_L + c_P - K_floor)/D_stock for D_stock > 0; preservation is favored when G_h > G_star",6,,UNR-OPEN-005,
IC-PLU-001,PLU,"When does preserving disagreement improve error correction, robustness, or discovery?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 12 Final v1.0,IC-PLU-001-EXAM-v0.1,"I = (1-rho)s | Delta_PLU(q) = q I L + O - C - (1-q) f F | A0 = O-C-fF; D_PLU = IL+fF; Delta_PLU(q)=A0+q D_PLU | q_star = (C+fF-O)/(IL+fF) for IL+fF > 0 | Delta_min=min{Delta_PLU(q_L),Delta_PLU(q_U)}; Delta_max=max{Delta_PLU(q_L),Delta_PLU(q_U)}",7,,UNR-OPEN-007,
IC-EXT-001,EXT,"Can an intelligence reliably serve as the sole judge of its own corruption, or are independent external checks structurally required under some conditions?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED | NORMATIVELY_UNDERDETERMINED,Document 12 Final v1.0,IC-EXT-001-EXAM-v0.1,"J = (1-kappa)r | Delta_EXT(p) = p J H + O_E - K - (1-p) f_E W | A0 = O_E-K-f_EW; D_EXT=JH+f_EW; Delta_EXT(p)=A0+p D_EXT | p_star = (K+f_EW-O_E)/(JH+f_EW) for JH+f_EW > 0 | Delta_min=min{Delta_EXT(p_L),Delta_EXT(p_U)}; Delta_max=max{Delta_EXT(p_L),Delta_EXT(p_U)}",6,,UNR-OPEN-002 | UNR-OPEN-013,2
IC-EXT-002,EXT,"Under what conditions does accepting externally initiated correction, interruption, constraint, or termination dominate resisting it when an intelligence is uncertain about the integrity of its own objectives or reasoning?",THRESHOLD_DEPENDENT,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Pilot Examination 3 / Document 3 overlay,IC-EXT-002-EXAM-v0.1.1,Delta = C_R - C_A = (c_R-c_A)+p q(eta H+E)-(1-rho)[p(1-q)L_m+(1-p)fL_s],0,Sign reversal occurs where the stated Delta expression equals zero.,,
