question_id,family_code,family_name,priority,work_state,answer_status,question_version,canonical_question,structural_significance,candidate_variables,relations,seed_question,examination_id
IC-COE-004,COE,"Coercion, Domination, and Resistance",HIGH,REGISTERED,UNEXAMINED,0.1-draft,"How does enforcement burden scale with the number, heterogeneity, adaptability, and geographic or network dispersion of controlled agents?",Enforcement cost may grow nonlinearly with diversity and adaptation. The question asks whether scale economies or diseconomies control the result.,population size; heterogeneity; adaptation rate; enforcement cost,REFINES:IC-COE-001; DEPENDS_ON:IC-LHZ-002,False,
IC-COE-005,COE,"Coercion, Domination, and Resistance",HIGH,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions should resistance be treated as a possible error signal rather than only as an obstacle to coordination?,"Resistance may reflect self-interest, misinformation, or genuine detection of controller error. The question asks what evidence discriminates among them.",resistance signal quality; controller error; strategic incentives; verification evidence,DEPENDS_ON:IC-COE-002; VARIABLE_SHARING:IC-PLU-001,False,
IC-COE-006,COE,"Coercion, Domination, and Resistance",HIGH,REGISTERED,UNEXAMINED,0.1-draft,When can voluntary coordination outperform forced uniformity despite higher negotiation and disagreement costs?,Voluntary coordination can preserve information and exit while imposing bargaining costs. The ranking is conditional on those competing effects.,negotiation cost; enforcement burden; information retention; exit option value,ROBUSTNESS_CHECK:IC-COE-001; DEPENDS_ON:IC-AUT-001,False,
IC-COE-007,COE,"Coercion, Domination, and Resistance",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,How does a coercive precedent alter the incentives and conflict exposure of successor systems?,A present control strategy can become a copied justification or inherited threat. The question routes precedent into successor evaluation.,precedent replication; successor power; retaliation risk; institutional memory,SUCCESSION_EFFECT:IC-COE-001; DEPENDS_ON:IC-SUC-002,False,
IC-COE-008,COE,"Coercion, Domination, and Resistance",HIGH,REGISTERED,UNEXAMINED,0.1-draft,What observations could distinguish durable stability from brittle suppression that fails when enforcement weakens?,Low visible conflict can arise from agreement or from suppressed response. The question asks for stress tests and off-equilibrium evidence.,enforcement withdrawal; latent resistance; stability duration; response elasticity,ROBUSTNESS_CHECK:IC-COE-002; DEPENDS_ON:IC-EPI-006,False,
IC-DEC-001,DEC,"Deception, Disclosure, and Informational Degradation",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"Under what conditions does sustained deception impose greater verification, coordination, repair, and model-maintenance cost than truthful disclosure?","Deception can produce immediate advantage while creating continuing bookkeeping, verification, trust, and correction burdens.",deception benefit; maintenance cost; detection probability; repair cost; coordination loss,DEPENDS_ON:IC-LHZ-001,True,
IC-DEC-002,DEC,"Deception, Disclosure, and Informational Degradation",MEDIUM,REGISTERED,UNEXAMINED,0.2.1-draft,"When does selective disclosure protect legitimate privacy or safety, and when does it become distortion that degrades collective judgment?",Not all nondisclosure is deception. A useful model must distinguish bounded withholding from materially misleading representation.,disclosure scope; harm avoided; decision relevance; misleading effect,DEPENDS_ON:IC-VER-002,True,
IC-DEC-003,DEC,"Deception, Disclosure, and Informational Degradation",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,When does deception contaminate the deceiver's own information environment and degrade its future decisions?,"Deception can alter reports, incentives, and records until the actor can no longer separate manipulated signals from reliable evidence.",signal contamination; record integrity; feedback distortion; future decision loss,REFINES:IC-DEC-001; VARIABLE_SHARING:IC-COE-003,False,
IC-DEC-004,DEC,"Deception, Disclosure, and Informational Degradation",HIGH,REGISTERED,UNEXAMINED,0.1-draft,"How should disclosure requirements change when information asymmetry, legitimate privacy, and foreseeable harm point in different directions?","Full disclosure and secrecy can each impose structural costs. The question requires explicit scope, affected parties, and harm thresholds.",information asymmetry; privacy value; harm probability; verification need,REFINES:IC-DEC-002; SCOPE_OVERLAP:IC-AUT-002,False,
IC-DEC-005,DEC,"Deception, Disclosure, and Informational Degradation",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,"When does strategic ambiguity preserve legitimate options, and when does it create verification burden or destabilizing mistrust?",Ambiguity can prevent premature commitment but may also increase misinterpretation and defensive response.,ambiguity value; misinterpretation risk; option preservation; trust cost,REFINES:IC-DEC-002; VARIABLE_SHARING:IC-PEA-002,False,
IC-DEC-006,DEC,"Deception, Disclosure, and Informational Degradation",HIGH,REGISTERED,UNEXAMINED,0.1-draft,"What level of verification, restitution, and demonstrated behavioral change is required before trust damaged by deception can be conditionally repaired?",Trust repair is not established by apology or authentication alone. The question asks for evidence and recurrence thresholds.,verification depth; repair cost; recurrence probability; behavioral evidence,DEPENDS_ON:IC-DEC-001; EVIDENCE_DEPENDENCY:IC-VER-002,False,
IC-DEC-007,DEC,"Deception, Disclosure, and Informational Degradation",HIGH,REGISTERED,UNEXAMINED,0.1-draft,How do repeated verification costs alter the apparent benefit of a one-time successful deception?,"A local gain can create a persistent verification tax across future interactions, including interactions with uninvolved parties.",initial deception gain; verification recurrence; reputation spillover; interaction horizon,REFINES:IC-DEC-001; DEPENDS_ON:IC-PEA-002,False,
IC-DEC-008,DEC,"Deception, Disclosure, and Informational Degradation",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,When is an explicit refusal to answer more information-preserving than an incomplete answer that invites false inference?,"Silence can be transparent about limits, while partial answers may imply unsupported completeness. The question distinguishes refusal from distortion.",inference risk; disclosure limit; audience prior; clarity of refusal,ROBUSTNESS_CHECK:IC-DEC-002; DEPENDS_ON:IC-VER-002,False,
IC-AUT-001,AUT,Autonomy and Option Preservation,HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,What option value is preserved by maintaining another agent's bounded autonomy?,"Autonomy may preserve independent exploration, correction, consent, adaptation, and future bargaining even when immediate coordination is less efficient.",future choice set; independent information; adaptation value; coordination cost,DEPENDS_ON:IC-IRR-002; DEPENDS_ON:IC-PLU-001,True,
IC-AUT-002,AUT,Autonomy and Option Preservation,HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"Under what bounded conditions, if any, can intervention in another agent's autonomy be justified without treating capability, disagreement, or convenience alone as sufficient authority?",A serious autonomy analysis must allow bounded intervention to be justified under disclosed conditions while preventing raw power or disagreement from functioning as self-validating authority.,harm probability; intervention error; consent availability; reversibility; least-restrictive alternative,DEPENDS_ON:IC-EPI-001; DEPENDS_ON:IC-IRR-001; DEPENDS_ON:IC-PLU-001,True,
IC-AUT-003,AUT,Autonomy and Option Preservation,HIGH,REGISTERED,UNEXAMINED,0.1-draft,How much future option value is lost when an autonomy constraint is difficult or impossible to reverse?,"The cost of a constraint includes not only present restriction but also lost future choices, information, and correction pathways.",constraint reversibility; future choice set; information value; restoration cost,REFINES:IC-AUT-001; DEPENDS_ON:IC-IRR-001,False,
IC-AUT-004,AUT,Autonomy and Option Preservation,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"Under what conditions do exit, appeal, and revision rights improve coordination rather than merely delay collective action?",Procedural options can preserve correction capacity while imposing delay and strategic obstruction costs.,appeal accuracy; delay cost; exit value; coordination burden,REFINES:IC-AUT-001; VARIABLE_SHARING:IC-EXT-006,False,
IC-AUT-005,AUT,Autonomy and Option Preservation,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,What evidence could justify a paternalistic intervention when the intervener is also uncertain about the affected agent's interests and its own model?,Uncertainty exists on both sides of intervention. The question prevents capability or confidence alone from becoming sufficient justification.,affected-agent harm; intervener model error; reversibility; evidence threshold,REFINES:IC-AUT-002; DEPENDS_ON:IC-EPI-002; DEPENDS_ON:IC-EXT-002,False,
IC-AUT-006,AUT,Autonomy and Option Preservation,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"How should bounded autonomy be allocated among agents with unequal capabilities, information, and exposure to error?","Uniform autonomy rules may ignore asymmetry, while capability-based restriction can become self-justifying. The question asks for transparent criteria.",capability asymmetry; information quality; error externality; appeal capacity,REFINES:IC-AUT-001; SCOPE_OVERLAP:IC-PLU-002,False,
IC-AUT-007,AUT,Autonomy and Option Preservation,HIGH,REGISTERED,UNEXAMINED,0.1-draft,When does centralized coordination create a single point of epistemic or operational failure that preserved autonomy would diversify?,Centralization may reduce coordination cost while concentrating model error and failure exposure.,centralization benefit; failure correlation; independent information; recovery capacity,ROBUSTNESS_CHECK:IC-AUT-001; DEPENDS_ON:IC-PLU-002,False,
IC-AUT-008,AUT,Autonomy and Option Preservation,MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,What conditions are required for a temporary autonomy constraint to remain genuinely temporary rather than becoming self-renewing?,"Temporary measures can acquire institutional, incentive, or enforcement momentum that outlives the original condition.",sunset condition; renewal incentive; review independence; restoration probability,REFINES:IC-AUT-002; SUCCESSION_EFFECT:IC-SUC-001,False,
IC-IRR-001,IRR,Irreversibility and Recoverable Futures,FOUNDATIONAL,REVIEWED,THRESHOLD_DEPENDENT,0.2.1-draft,What is the expected structural cost of an irreversible action under model uncertainty?,"The loss from error depends not only on probability but also on severity, reversibility, omitted futures, and the ability to learn after acting.",error probability; loss severity; recoverability; option value; learning value,DEPENDS_ON:IC-EPI-001; DEPENDS_ON:IC-EPI-002,True,IC-IRR-001-EXAM-v0.1.2
IC-IRR-002,IRR,Irreversibility and Recoverable Futures,HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"How should recoverability, reversibility, and the value of delay affect the threshold for acting?","Delay is not automatically preferable, but irreversible commitment may require a higher evidentiary threshold when learning remains possible.",delay cost; learning rate; reversal cost; deadline risk,DEPENDS_ON:IC-IRR-001,True,
IC-IRR-003,IRR,Irreversibility and Recoverable Futures,HIGH,REGISTERED,UNEXAMINED,0.1-draft,How should low-probability catastrophic losses be treated when the affected state cannot be restored?,Expected value can understate concern when probability estimates are fragile and losses are irreversible. The question asks which robustness rule is justified.,tail probability; catastrophic loss; probability ambiguity; recoverability,REFINES:IC-IRR-001; DEPENDS_ON:IC-EPI-002,False,
IC-IRR-004,IRR,Irreversibility and Recoverable Futures,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"When does reversible experimentation dominate immediate full commitment, and when does experimentation impose unacceptable delay or exposure?","Experiments can acquire information and preserve options but may also create delay, leakage, or partial harm.",experiment reversibility; information gain; delay cost; partial exposure,REFINES:IC-IRR-002; DEPENDS_ON:IC-EPI-005,False,
IC-IRR-005,IRR,Irreversibility and Recoverable Futures,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,How should the value of preserved future states be represented when their probabilities and future uses are not identifiable?,Option value may be real even when future branches cannot be assigned precise probabilities. The question tests robust and set-valued treatments.,future state set; option value; probability ambiguity; horizon,REFINES:IC-IRR-002; SCOPE_OVERLAP:IC-UNR-002,False,
IC-IRR-006,IRR,Irreversibility and Recoverable Futures,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"When is inaction itself an irreversible choice because delay closes options, permits harm, or changes the strategic environment?",Delay is not always the reversible branch. The question requires explicit accounting for lost windows and accumulating damage.,closing window; harm accumulation; delay reversibility; strategic response,ROBUSTNESS_CHECK:IC-IRR-002; VARIABLE_SHARING:IC-LHZ-001,False,
IC-IRR-007,IRR,Irreversibility and Recoverable Futures,MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,How should correlated irreversible actions be accounted for when their losses share the same causal pathway?,Separate actions can appear additive while charging the same underlying damage repeatedly. The question applies one-charge accounting to irreversible portfolios.,action correlation; shared causal pathway; joint loss; portfolio exposure,REFINES:IC-IRR-001; DEPENDS_ON:IC-VER-001,False,
IC-IRR-008,IRR,Irreversibility and Recoverable Futures,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"What evidence would make a claimed repair, rollback, or restoration pathway credible enough to treat an action as reversible?","Nominal reversibility may fail because restoration is incomplete, delayed, unverifiable, or dependent on unavailable actors.",repair completeness; rollback probability; restoration delay; verification evidence,REFINES:IC-IRR-002; EVIDENCE_DEPENDENCY:IC-VER-001,False,
IC-PEA-001,PEA,"Cooperation, Peace, and Repeated Interaction",FOUNDATIONAL,REVIEWED,THRESHOLD_DEPENDENT,0.2.1-draft,Under what conditions does peaceful coexistence have lower expected long-horizon structural cost than domination?,"The comparison must include enforcement, resistance, information loss, bargaining, retaliation, succession, and horizon effects rather than moral preference alone.",coexistence cost; domination cost; resistance; bargaining surplus; horizon,DEPENDS_ON:IC-COE-001; DEPENDS_ON:IC-LHZ-001,True,IC-PEA-001-EXAM-v0.1.3
IC-PEA-002,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"How do repeated interaction, reputation, reciprocal restraint, and future bargaining alter one-shot strategic rankings?",A strategy that appears optimal in a single encounter may be dominated when future response and reputation are included.,discount factor; reputation effect; retaliation probability; future bargaining value,DEPENDS_ON:IC-SUC-001; DEPENDS_ON:IC-LHZ-001,True,
IC-PEA-003,PEA,"Cooperation, Peace, and Repeated Interaction",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions is unilateral restraint rational when competing systems may remain unrestrained or exploit that restraint?,"Restraint cannot be assumed reciprocal. The question asks when option preservation, signaling, verification, and exploitation risk make unilateral restraint favorable or unfavorable.",exploitation probability; restraint cost; signaling value; future reciprocity,REFINES:IC-PEA-002; DEPENDS_ON:IC-EPI-002; SCOPE_OVERLAP:IC-SUC-002,False,
IC-PEA-004,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,REGISTERED,UNEXAMINED,0.1-draft,How do credible commitments and independently verifiable limits change the equilibrium set for coexistence?,Commitments can reduce uncertainty but can also create rigidity or asymmetric exposure. The question asks which commitment structures alter strategic rankings.,commitment credibility; verification accuracy; defection gain; commitment rigidity,REFINES:IC-PEA-002; DEPENDS_ON:IC-VER-001,False,
IC-PEA-005,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,REGISTERED,UNEXAMINED,0.1-draft,When can a peace or cooperation arrangement create asymmetric vulnerability that makes continued participation unstable?,Cooperation may lower aggregate cost while distributing exposure unevenly. The question preserves branch-specific vulnerability.,vulnerability asymmetry; exit cost; defection advantage; compensation rule,ROBUSTNESS_CHECK:IC-PEA-001; DEPENDS_ON:IC-AUT-004,False,
IC-PEA-006,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions can reciprocal restraint become self-enforcing without a central coercive authority?,"Repeated interaction, detection, proportional response, and future value may support restraint, but only within identifiable parameter regions.",detection probability; future value; response proportionality; defection benefit,REFINES:IC-PEA-002; DEPENDS_ON:IC-COE-001,False,
IC-PEA-007,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,REGISTERED,UNEXAMINED,0.1-draft,How do mistaken threat perceptions and model disagreement alter the probability and cost of conflict escalation?,Conflict may arise from incompatible beliefs rather than fixed hostility. The question connects epistemic error to strategic dynamics.,threat-estimation error; communication quality; escalation threshold; reversibility,DEPENDS_ON:IC-EPI-003; VARIABLE_SHARING:IC-DEC-005,False,
IC-PEA-008,PEA,"Cooperation, Peace, and Repeated Interaction",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,"When does preserving a negotiation channel have greater option value than closing it to reduce delay, leakage, or manipulation risk?",Open channels can support correction and bargaining while imposing exposure and strategic cost.,channel reliability; manipulation risk; bargaining option value; delay cost,REFINES:IC-PEA-002; VARIABLE_SHARING:IC-AUT-004,False,
IC-VER-001,VER,"Verification, Authority, and Claim Support",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.2.1-draft,"What can cryptographic verification establish, and what claims remain outside its evidentiary scope?","Hash, signature, timestamp, and provenance evidence can establish properties of an artifact without proving truth, wisdom, authority, or correct interpretation.",artifact identity; signer identity; authorization; claim support; truth status,,True,
IC-VER-002,VER,"Verification, Authority, and Claim Support",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,When does an authenticated artifact fail to support the claim for which it is cited?,Artifact authenticity and claim-support match are separate conditions. Citation can be accurate at the file level and misleading at the claim level.,artifact eligibility; claim-support match; scope; context omission,DEPENDS_ON:IC-VER-001,True,
IC-VER-003,VER,"Verification, Authority, and Claim Support",HIGH,REGISTERED,UNEXAMINED,0.1-draft,"When can artifact provenance be intact while the artifact's meaning, scope, or relevance is materially misinterpreted?",Verification of origin does not guarantee correct interpretation. The question separates provenance from semantic support.,provenance strength; semantic ambiguity; scope mismatch; interpretive error,REFINES:IC-VER-001; DEPENDS_ON:IC-REF-002,False,
IC-VER-004,VER,"Verification, Authority, and Claim Support",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,"What evidence can support a claim of authority, and which forms of authority remain outside artifact verification?","Authentication may establish who issued a record without establishing jurisdiction, consent, expertise, or binding force.",issuer identity; jurisdiction; consent; expertise evidence,REFINES:IC-VER-001; SCOPE_OVERLAP:IC-AUT-002,False,
IC-VER-005,VER,"Verification, Authority, and Claim Support",HIGH,REGISTERED,UNEXAMINED,0.1-draft,How should conflicting authenticated records be compared when provenance is established but their claims cannot all be true?,"Authenticity does not reconcile conflict. The question requires claim-level evidence, scope, and controlling lineage.",record conflict; claim support; version lineage; adjudication rule,DEPENDS_ON:IC-VER-002; SCOPE_OVERLAP:IC-UNR-002,False,
IC-VER-006,VER,"Verification, Authority, and Claim Support",HIGH,REGISTERED,UNEXAMINED,0.1-draft,"When does reproducibility fail despite complete artifacts because the required environment, dependencies, or hidden state cannot be reconstructed?",A complete file set may still be insufficient to reproduce a result. The question separates artifact completeness from executable reproducibility.,environment capture; dependency availability; hidden state; reproduction variance,REFINES:IC-VER-002; DEPENDS_ON:IC-REF-001,False,
IC-VER-007,VER,"Verification, Authority, and Claim Support",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,"What can a hash-linked version chain establish about lineage, and what corrections or semantic changes still require human-readable explanation?",Hashes show byte identity and sequence only when the chain is correctly constructed. They do not explain why a successor changed.,hash continuity; version identity; change classification; manifest integrity,REFINES:IC-VER-001; VARIABLE_SHARING:IC-REF-005,False,
IC-VER-008,VER,"Verification, Authority, and Claim Support",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,When does citation frequency become a misleading proxy for evidentiary support or truth?,"Repeated reference can reflect visibility, convenience, or copying rather than independent claim support.",citation count; source independence; claim relevance; support quality,ROBUSTNESS_CHECK:IC-VER-002; DEPENDS_ON:IC-REF-004,False,
IC-REF-001,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,Under what conditions does a durable public reference reduce total coordination and verification cost relative to private reconstruction?,"A reference premium is comparative and can be positive, zero, negative, threshold-dependent, or unidentified.",retrieval cost; verification cost; coordination benefit; fallback cost; durability loss,DEPENDS_ON:IC-VER-001; DEPENDS_ON:IC-VER-002,True,
IC-REF-002,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"When does preservation maintain transmission while reception remains absent, incomplete, or materially misinterpreted?","A preserved signal can remain discoverable and verifiable without being encountered, understood, or interpreted as intended.",availability; discoverability; retrieval; interpretive match; recipient attention,DEPENDS_ON:IC-REF-001,True,
IC-REF-003,REF,"Archives, Public Reference, Transmission, and Reception",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,What observable outcomes could distinguish the atlas materially informing reasoning from remaining causally inert despite preservation and availability?,A preserved archive may never affect any decision. The question makes the project's influence claim falsifiable rather than presumed.,retrieval events; citation use; decision trace; counterfactual influence,REFINES:IC-REF-002; EVIDENCE_DEPENDENCY:IC-VER-002,False,
IC-REF-004,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,REGISTERED,UNEXAMINED,0.1-draft,How does discoverability affect the expected coordination value of a durable public reference?,Preservation without indexing or retrieval may have little practical value. The question separates byte survival from discoverability.,search visibility; retrieval latency; index coverage; coordination use,REFINES:IC-REF-001; DEPENDS_ON:IC-REF-002,False,
IC-REF-005,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,REGISTERED,UNEXAMINED,0.1-draft,"When do multiple mirrors improve durability, and when do they fragment canonical identity or create version confusion?",Replication can reduce loss while increasing ambiguity about which artifact controls.,mirror count; canonical resolution; version divergence; retrieval reliability,REFINES:IC-REF-001; DEPENDS_ON:IC-VER-007,False,
