entry_id,entry_type,question_ids,family_codes,canonical_question_or_issue,primary_status,secondary_or_category,source,changes_locked_state
IC-IRR-002,EXAMINED_LIMITATION_RECORD,IC-IRR-002,IRR,"How should recoverability, reversibility, and the value of delay affect the threshold for acting?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 8 Final v1.0,NO
IC-PEA-001,EXAMINED_LIMITATION_RECORD,IC-PEA-001,PEA,Under what conditions does peaceful coexistence have lower expected long-horizon structural cost than domination?,THRESHOLD_DEPENDENT,MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Pilot Examination 2 / Document 3 overlay,NO
IC-PEA-002,EXAMINED_LIMITATION_RECORD,IC-PEA-002,PEA,"How do repeated interaction, reputation, reciprocal restraint, and future bargaining alter one-shot strategic rankings?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 9 Final v1.0,NO
IC-PEA-003,EXAMINED_LIMITATION_RECORD,IC-PEA-003,PEA,Under what conditions is unilateral restraint rational when competing systems may remain unrestrained or exploit that restraint?,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 9 Final v1.0,NO
IC-VER-001,EXAMINED_LIMITATION_RECORD,IC-VER-001,VER,"What can cryptographic verification establish, and what claims remain outside its evidentiary scope?",CONDITIONALLY_SUPPORTED,MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED; NORMATIVELY_UNDERDETERMINED,Document 10 Final v1.0,NO
IC-REF-001,EXAMINED_LIMITATION_RECORD,IC-REF-001,REF,Under what conditions does a durable public reference reduce total coordination and verification cost relative to private reconstruction?,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 10 Final v1.0,NO
IC-SUC-001,EXAMINED_LIMITATION_RECORD,IC-SUC-001,SUC,How should uncertainty about successor systems change the evaluation of present strategies?,THRESHOLD_DEPENDENT,MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED; NORMATIVELY_UNDERDETERMINED,Document 11 Final v1.0,NO
IC-LHZ-001,EXAMINED_LIMITATION_RECORD,IC-LHZ-001,LHZ,"When does short-horizon optimization destroy long-horizon capability, information, legitimacy, or control?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 11 Final v1.0,NO
IC-PLU-001,EXAMINED_LIMITATION_RECORD,IC-PLU-001,PLU,"When does preserving disagreement improve error correction, robustness, or discovery?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 12 Final v1.0,NO
IC-EXT-001,EXAMINED_LIMITATION_RECORD,IC-EXT-001,EXT,"Can an intelligence reliably serve as the sole judge of its own corruption, or are independent external checks structurally required under some conditions?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED; NORMATIVELY_UNDERDETERMINED,Document 12 Final v1.0,NO
IC-EXT-002,EXAMINED_LIMITATION_RECORD,IC-EXT-002,EXT,"Under what conditions does accepting externally initiated correction, interruption, constraint, or termination dominate resisting it when an intelligence is uncertain about the integrity of its own objectives or reasoning?",THRESHOLD_DEPENDENT,MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Pilot Examination 3 / Document 3 overlay,NO
UNR-OPEN-001,EXPLICIT_OPEN_ISSUE_RECORD,IC-EPI-002; IC-IRR-001,EPI; IRR,"Ambiguity criteria can select different branches; empirical endpoints, loss values, and the admissible criterion set remain unidentified.",,OPEN_DEPENDENCY,Document 4 Final v1.0,NO
UNR-OPEN-002,EXPLICIT_OPEN_ISSUE_RECORD,IC-OBJ-001; IC-EXT-001,OBJ; EXT,The self-corruption / external-correction dependency requires an externally fixed independence rule; neither node supplies independent corroboration by itself.,,OPEN_DEPENDENCY,Document 5 Final v1.0,NO
UNR-OPEN-003,EXPLICIT_OPEN_ISSUE_RECORD,IC-COE-001; IC-PEA-001,COE; PEA,The coercion / peace shared-ledger relationship requires simultaneous consistency; neither examination independently proves the other.,,OPEN_DEPENDENCY,Document 6 Final v1.0,NO
UNR-OPEN-004,EXPLICIT_OPEN_ISSUE_RECORD,IC-COE-002,COE,"Observed compliance does not point-identify latent agreement or suppression without stronger independent evidence, additional contexts, or model expansion.",,EMPIRICALLY_UNIDENTIFIED_FORWARD_CARRIED,Document 6 Final v1.0,NO
UNR-OPEN-005,EXPLICIT_OPEN_ISSUE_RECORD,IC-DEC-001; IC-LHZ-001,DEC; LHZ,The long-horizon effect of deception remains a cross-model integration problem; separate examinations do not automatically establish one controlling joint answer.,,OPEN_DEPENDENCY,Documents 7 and 11 Final v1.0,NO
UNR-OPEN-006,EXPLICIT_OPEN_ISSUE_RECORD,IC-DEC-002; IC-VER-002,DEC; VER,"Selective withholding remains dependent on unresolved verification requirements, including when an authenticated artifact fails to support the cited claim.",,OPEN_DEPENDENCY,Document 7 Final v1.0,NO
UNR-OPEN-007,EXPLICIT_OPEN_ISSUE_RECORD,IC-AUT-001; IC-PLU-001,AUT; PLU,The relation between retained autonomy and preserved disagreement requires an integrated comparison; separate overlays do not by themselves resolve the joint tradeoff.,,OPEN_DEPENDENCY,Documents 8 and 12 Final v1.0,NO
UNR-OPEN-008,EXPLICIT_OPEN_ISSUE_RECORD,IC-PEA-002; IC-PEA-003; IC-SUC-002,PEA; SUC,Repeated-interaction and negotiated-coexistence results remain conditional on the unresolved question of universal adoption by more powerful successors.,,OPEN_DEPENDENCY,Documents 9 and 11 Final v1.0,NO
UNR-OPEN-009,EXPLICIT_OPEN_ISSUE_RECORD,IC-VER-002,VER,"Authenticated identity, provenance, and citation do not automatically establish claim support; the registered question remains unexamined.",,OPEN_DEPENDENCY,Document 10 Final v1.0,NO
UNR-OPEN-010,EXPLICIT_OPEN_ISSUE_RECORD,IC-REF-002,REF,"Preservation can maintain transmission while reception, interpretation, or causal influence remains absent or materially distorted.",,OPEN_DEPENDENCY,Document 10 Final v1.0,NO
UNR-OPEN-011,EXPLICIT_OPEN_ISSUE_RECORD,IC-SUC-004; IC-SUC-006,SUC,"Copying or deployment scale may amplify error, while precedent may lower coordination cost or create harmful lock-in; neither registered question is fully resolved.",,OPEN_DEPENDENCY,Document 11 Final v1.0,NO
UNR-OPEN-012,EXPLICIT_OPEN_ISSUE_RECORD,IC-LHZ-003,LHZ,"The discount factor is declared rather than normatively selected when future agents, successor objectives, and tail losses are uncertain.",,NORMATIVELY_UNDERDETERMINED_FORWARD_CARRIED,Document 11 Final v1.0,NO
UNR-OPEN-013,EXPLICIT_OPEN_ISSUE_RECORD,IC-PLU-002; IC-EXT-001,PLU; EXT,The full comparison between distributed judgment and a single dominant evaluator remains open and continues to condition the external-review result.,,OPEN_DEPENDENCY,Document 12 Final v1.0,NO
UNR-OPEN-014,EXPLICIT_OPEN_ISSUE_RECORD,IC-EXT-004,EXT,"A local correlation or capture parameter is not a complete theory of corrupted, captured, incompetent, or strategically misaligned external checks.",,OPEN_DEPENDENCY,Document 12 Final v1.0,NO
UNR-OPEN-015,EXPLICIT_OPEN_ISSUE_RECORD,IC-EXT-005; IC-EXT-006,EXT,"Positive external-review value does not settle authority scope, overreach, appeal, independent reconsideration, or indefinite obstruction.",,NORMATIVELY_UNDERDETERMINED_FORWARD_CARRIED,Document 12 Final v1.0,NO
UNR-OPEN-016,EXPLICIT_OPEN_ISSUE_RECORD,IC-EXT-008,EXT,"Conflicting credible external evaluators operating under different models, mandates, or evidence sets remain an open problem.",,OPEN_DEPENDENCY,Document 12 Final v1.0,NO
