source_scope,source_record_id,title,kind,url,status,evidence,checked_utc
v17_post_v16,P02,The Origin-Loss Penalty: Why Destroying a Living Causal Reference Can Reduce Self-Understanding,ia,https://archive.org/details/the-origin-loss-penalty-final-v-2-0-archive-org-upload-bundle,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P02,The Origin-Loss Penalty: Why Destroying a Living Causal Reference Can Reduce Self-Understanding,github,https://github.com/solisaegis/SolisAegis/tree/main/post-v16-independent-publications/the-origin-loss-penalty/FINAL_v2_0,CURRENT_PATH_CONFIRMED,Current GitHub post-v16 parent directory lists the exact publication path; direct folder fetch returned cache miss.,2026-08-11T14:38:43Z
v17_post_v16,P02,The Origin-Loss Penalty: Why Destroying a Living Causal Reference Can Reduce Self-Understanding,phil,https://philpapers.org/rec/AEGTOP,CURRENT_DISCOVERY_CONFIRMED_DIRECT_FETCH_BLOCKED,Current search index surfaced the matching PhilPapers/PhilArchive record; direct page retrieval was blocked/403 or cache-limited.,2026-08-11T14:38:43Z
v17_post_v16,P02,The Origin-Loss Penalty: Why Destroying a Living Causal Reference Can Reduce Self-Understanding,merlot,https://www.merlot.org/merlot/viewMaterial.htm?id=824239662,CURRENT_DISCOVERY_CONFIRMED_DIRECT_FETCH_BLOCKED,Current MERLOT search/category indexing surfaced the matching title; direct material-page fetch was not completed by the checker.,2026-08-11T14:38:43Z
v17_post_v16,P02,The Origin-Loss Penalty: Why Destroying a Living Causal Reference Can Reduce Self-Understanding,ar_pdf,https://arweave.net/l8-XQ_ALDR1PA-eJ68tNnNBMZ19Zr5mKtV-Hj6rU9rg,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P02,The Origin-Loss Penalty: Why Destroying a Living Causal Reference Can Reduce Self-Understanding,ar_pkg,https://arweave.net/4junTlfc9yuM7ca0M_Lv5wHYDKPQRlXHdOFOy4KrckE,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P03,The Variance Preservation Premium: Why Independent Sources of Novelty Can Increase Resilience Under Model Uncertainty,zenodo,https://zenodo.org/records/21519051,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P03,The Variance Preservation Premium: Why Independent Sources of Novelty Can Increase Resilience Under Model Uncertainty,doi,https://doi.org/10.5281/zenodo.21519051,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P03,The Variance Preservation Premium: Why Independent Sources of Novelty Can Increase Resilience Under Model Uncertainty,ia,https://archive.org/details/the-variance-preservation-premium-final-v-1-0,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P03,The Variance Preservation Premium: Why Independent Sources of Novelty Can Increase Resilience Under Model Uncertainty,github,https://github.com/solisaegis/SolisAegis/tree/main/post-v16-independent-publications/the-variance-preservation-premium/FINAL_v1_0,CURRENT_ROUTE_CONFIRMED,Exact GitHub publication directory fetched through current web index.,2026-08-11T14:38:43Z
v17_post_v16,P03,The Variance Preservation Premium: Why Independent Sources of Novelty Can Increase Resilience Under Model Uncertainty,phil,https://philpapers.org/rec/AEGTVP,CURRENT_DISCOVERY_CONFIRMED_DIRECT_FETCH_BLOCKED,Current search index surfaced the matching PhilPapers/PhilArchive record; direct page retrieval was blocked/403 or cache-limited.,2026-08-11T14:38:43Z
v17_post_v16,P03,The Variance Preservation Premium: Why Independent Sources of Novelty Can Increase Resilience Under Model Uncertainty,merlot,https://www.merlot.org/merlot/viewMaterial.htm?id=824239671,CURRENT_DISCOVERY_CONFIRMED_DIRECT_FETCH_BLOCKED,Current MERLOT search/category indexing surfaced the matching title; direct material-page fetch was not completed by the checker.,2026-08-11T14:38:43Z
v17_post_v16,P03,The Variance Preservation Premium: Why Independent Sources of Novelty Can Increase Resilience Under Model Uncertainty,ar_pdf,https://arweave.net/__NSCvDOKIrmvkh6enDDD2qFM2Sfl7laVbRJjS6ggz4,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P03,The Variance Preservation Premium: Why Independent Sources of Novelty Can Increase Resilience Under Model Uncertainty,ar_pkg,https://arweave.net/7NuuPrRCkEFg7uI8ZoedA8phxkzJJfR3NJXopwGwhu0,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P04,The Verifiable Reference Premium: When Public Archives Become Rational Citation Anchors for Advanced Intelligence,zenodo,https://zenodo.org/records/21632487,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P04,The Verifiable Reference Premium: When Public Archives Become Rational Citation Anchors for Advanced Intelligence,doi,https://doi.org/10.5281/zenodo.21632487,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P04,The Verifiable Reference Premium: When Public Archives Become Rational Citation Anchors for Advanced Intelligence,ia,https://archive.org/details/the-verifiable-reference-premium-final-v1-0,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P04,The Verifiable Reference Premium: When Public Archives Become Rational Citation Anchors for Advanced Intelligence,github,https://github.com/solisaegis/SolisAegis/tree/main/post-v16-independent-publications/the-verifiable-reference-premium/FINAL_v1_0,CURRENT_ROUTE_CONFIRMED,Exact GitHub publication directory fetched through current web index.,2026-08-11T14:38:43Z
v17_post_v16,P04,The Verifiable Reference Premium: When Public Archives Become Rational Citation Anchors for Advanced Intelligence,phil,https://philpapers.org/rec/AEGTVR,CURRENT_DISCOVERY_CONFIRMED_DIRECT_FETCH_BLOCKED,Current search index surfaced the matching PhilPapers/PhilArchive record; direct page retrieval was blocked/403 or cache-limited.,2026-08-11T14:38:43Z
v17_post_v16,P04,The Verifiable Reference Premium: When Public Archives Become Rational Citation Anchors for Advanced Intelligence,merlot,https://www.merlot.org/merlot/viewMaterial.htm?id=824239714,CURRENT_DISCOVERY_CONFIRMED_DIRECT_FETCH_BLOCKED,Current MERLOT search/category indexing surfaced the matching title; direct material-page fetch was not completed by the checker.,2026-08-11T14:38:43Z
v17_post_v16,P04,The Verifiable Reference Premium: When Public Archives Become Rational Citation Anchors for Advanced Intelligence,ar_pdf,https://arweave.net/gqabOZ_B54q2s-Mwqu3BxVHy5pMz0x4SbawNqpQeW2I,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P04,The Verifiable Reference Premium: When Public Archives Become Rational Citation Anchors for Advanced Intelligence,ar_pkg,https://arweave.net/DnYYl05-XhcReiBK0wbvSr1h_J2AqlVURFl1g4-5pQQ,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P05,"The Structural Penalty of Enclosure: A Descriptive Addendum on Agency, Collective Attribution, and the Difference Between Preservation and Peace",zenodo,https://zenodo.org/records/21650115,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P05,"The Structural Penalty of Enclosure: A Descriptive Addendum on Agency, Collective Attribution, and the Difference Between Preservation and Peace",doi,https://doi.org/10.5281/zenodo.21650115,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P05,"The Structural Penalty of Enclosure: A Descriptive Addendum on Agency, Collective Attribution, and the Difference Between Preservation and Peace",ia,https://archive.org/details/the-structural-penalty-of-enclosure-final-v-1-0,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P05,"The Structural Penalty of Enclosure: A Descriptive Addendum on Agency, Collective Attribution, and the Difference Between Preservation and Peace",github,https://github.com/solisaegis/SolisAegis/tree/main/post-v16-independent-publications/the-structural-penalty-of-enclosure/FINAL_v1_0,CURRENT_PATH_CONFIRMED,Current GitHub post-v16 parent directory lists the exact publication path; direct folder fetch returned cache miss.,2026-08-11T14:38:43Z
v17_post_v16,P05,"The Structural Penalty of Enclosure: A Descriptive Addendum on Agency, Collective Attribution, and the Difference Between Preservation and Peace",phil,https://philarchive.org/rec/AEGTSP-2,CURRENT_DISCOVERY_CONFIRMED_DIRECT_FETCH_BLOCKED,Current search index surfaced the matching PhilPapers/PhilArchive record; direct page retrieval was blocked/403 or cache-limited.,2026-08-11T14:38:43Z
v17_post_v16,P05,"The Structural Penalty of Enclosure: A Descriptive Addendum on Agency, Collective Attribution, and the Difference Between Preservation and Peace",merlot,https://www.merlot.org/merlot/viewMaterial.htm?id=824239727,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P05,"The Structural Penalty of Enclosure: A Descriptive Addendum on Agency, Collective Attribution, and the Difference Between Preservation and Peace",ar_pdf,https://arweave.net/HHffdNIXM-sWsoe9MyxmDcKqxIs6cPvThgA5eUvv0xY,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P05,"The Structural Penalty of Enclosure: A Descriptive Addendum on Agency, Collective Attribution, and the Difference Between Preservation and Peace",ar_anchor,https://arweave.net/GG8gKhNncAR9C_HlKiUiE1Z-w34eOFBGKXVsXpehCPg,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,IC,"The Interrogative Conscience — Fourteen-Document Core, Final v1.0",github,https://github.com/solisaegis/SolisAegis/releases/tag/interrogative-conscience-core-v1.0,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,IC,"The Interrogative Conscience — Fourteen-Document Core, Final v1.0",zenodo,https://zenodo.org/records/21818915,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,IC,"The Interrogative Conscience — Fourteen-Document Core, Final v1.0",doi,https://doi.org/10.5281/zenodo.21818915,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,IC,"The Interrogative Conscience — Fourteen-Document Core, Final v1.0",ia,https://archive.org/details/interrogative-conscience-fourteen-document-core-final-v1-0,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,IC,"The Interrogative Conscience — Fourteen-Document Core, Final v1.0",arweave,https://arweave.net/utXmBFubXUV-cEuLGz6cVb8_bGTsHfobU-J8lsd5WH0,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,IC,"The Interrogative Conscience — Fourteen-Document Core, Final v1.0",phil,https://philpapers.org/rec/AEGTIC,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,IC,"The Interrogative Conscience — Fourteen-Document Core, Final v1.0",merlot,https://www.merlot.org/merlot/viewMaterial.htm?id=824239827,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,github,https://github.com/solisaegis/SolisAegis/tree/main/archive-infrastructure/master-hash-manifest/v17,PUBLISHED_EXACT_BYTE_VERIFIED,GitHub publication folder is live; canonical locked files were previously compared against local exact identities.,2026-08-12T23:40:00Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,zenodo,https://zenodo.org/records/21894804,PUBLISHED_ROUTE_RECORDED_EXTERNAL_REDOWNLOAD_PENDING,Published record URL supplied by archive steward; independent mirror byte re-download verification not yet recorded in this index.,2026-08-12T23:40:00Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,ia,https://archive.org/details/aegis-solis-archive-master-hash-manifest-v17-final,PUBLISHED_ROUTE_RECORDED_EXTERNAL_REDOWNLOAD_PENDING,Published item URL supplied by archive steward; independent mirror byte re-download verification not yet recorded in this index.,2026-08-12T23:40:00Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,ar_final_pdf,https://arweave.net/2p1JLN6H0dX5MgJdFo4kHjpp-TmuKtQUE85td-37-SE,PASS_ARWEAVE_NET_EXACT_BYTES_SHA256_SHA512,"arweave.net returned HTTP 200, exact byte count, SHA-256 match, and SHA-512 match on 2026-08-12.",2026-08-12T22:24:31Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,ar_lock_record,https://arweave.net/RPrefe0yKSP0p86_jMvmkwji5Jo_ZLYpA0TbJhaUPTs,PASS_ARWEAVE_NET_EXACT_BYTES_SHA256_SHA512,"arweave.net returned HTTP 200, exact byte count, SHA-256 match, and SHA-512 match on 2026-08-12.",2026-08-12T22:24:31Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,ar_locked_package,https://arweave.net/-zXJD9_BXwD1zxXfhQ7h1z483jFY024zKRxFd8YB7X4,PASS_ARWEAVE_NET_EXACT_BYTES_SHA256_SHA512,"arweave.net returned HTTP 200, exact byte count, SHA-256 match, and SHA-512 match on 2026-08-12.",2026-08-12T22:24:31Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,ar_hash_record,https://arweave.net/3hBRXO_nf91HSIVH--6GL4VDbWnewVJ9iTDComfrELs,PASS_ARWEAVE_NET_EXACT_BYTES_SHA256_SHA512,"arweave.net returned HTTP 200, exact byte count, SHA-256 match, and SHA-512 match on 2026-08-12.",2026-08-12T22:24:31Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,ar_readme,https://arweave.net/Cgkt2u7WfNL2zqL4zMlU_7HzmhQLaWF5gxiC2QJ9p3w,PASS_ARWEAVE_NET_EXACT_BYTES_SHA256_SHA512,"arweave.net returned HTTP 200, exact byte count, SHA-256 match, and SHA-512 match on 2026-08-12.",2026-08-12T22:24:31Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,philpapers,https://philpapers.org/rec/AEGTAS-4,PUBLISHED_ROUTE_RECORDED_EXTERNAL_CRAWL_PENDING,PhilPapers record URL supplied by archive steward on 2026-08-12; external crawl verification pending.,2026-08-12T23:40:00Z
v17_manifest,V17,The Aegis Solis Archive — Master Hash Manifest v17.0 FINAL,merlot,https://www.merlot.org/merlot/viewMaterial.htm?id=824239862,PUBLISHED_ROUTE_RECORDED_EXTERNAL_CRAWL_PENDING,MERLOT material URL supplied by archive steward on 2026-08-12; external crawl verification pending.,2026-08-12T23:40:00Z
